id,date,avis,note
1,2026-04-29,"Bravo pour les trois jours sans réseau, du grand art.",2
2,2026-06-02,"Merci Waaw Telecom pour cette facture surprise, quelle générosité.",1
3,2026-08-18,Un service client si réactif qu'on a le temps de vieillir en attendant.,2
4,2026-04-09,L'application plante si joliment qu'on en oublierait presque d'être énervé.,1
5,2026-05-30,"Encore une augmentation de prix, on ne s'ennuie jamais avec vous.",1
6,2026-08-22,"Réseau bi dafa bon ce mois-ci, merci beaucoup.",5
7,2026-05-27,"Facture bi dafa bare trop, li dafa diar.",4
8,2026-04-02,"Service client bi ñëpp bon, ils ont réglé mon problème rapidement.",3
9,2026-07-18,"Appli bi dafa poor, dafa toujours planter.",3
10,2026-05-26,"Prix yi dafa cher trop, xoolal ndax dinañu wax.",4
11,2026-04-27,"Dama bëgg ni réseau bi baax na leegi, jamm rekk.",2
12,2026-07-01,Peut mieux faire.,3
13,2026-04-12,Rien à dire.,1
14,2026-07-06,Top !,5
15,2026-07-02,Bof.,1
16,2026-05-29,Bof.,2
17,2026-04-26,Parfait.,3
18,2026-05-12,Correct.,3
19,2026-04-19,Nul.,5
20,2026-06-02,Décevant.,3
21,2026-08-21,Moyen.,1
22,2026-05-29,"Toujours aucun réseau depuis hier, très mécontent.",2
23,2026-07-12,"Toujours aucun réseau depuis hier, très mécontent.",1
24,2026-08-24,"Toujours aucun réseau depuis hier, très mécontent.",2
25,2026-05-25,"Toujours aucun réseau depuis hier, très mécontent.",2
26,2026-07-27,"Toujours aucun réseau depuis hier, très mécontent.",1
27,2026-06-03,"Toujours aucun réseau depuis hier, très mécontent.",2
28,2026-08-28,Le Pass Journalier est trop cher pour un débit aussi faible.,2
29,2026-04-24,L'appli ne plante plus depuis la dernière mise à jour.,4
30,2026-07-08,"Conseiller désagréable au téléphone, aucune solution proposée pour mon Pass Journalier.",1
31,2026-08-16,Réponse rapide sur WhatsApp pour mon souci de solde de 1 500 F.,5
32,2026-05-11,"Facture détaillée et compréhensible ce mois, merci.",4
33,2026-06-16,Le Forfait Soir à 2 000 F est dans la moyenne du marché.,3
34,2026-05-12,Réponse rapide sur WhatsApp pour mon souci de solde de 10 000 F.,5
35,2026-04-05,Aucune couverture réseau à Mermoz depuis la panne d'hier.,1
36,2026-04-22,L'appli ne plante plus depuis la dernière mise à jour.,5
37,2026-08-19,L'appli demande de se reconnecter toutes les cinq minutes à Pikine.,1
38,2026-06-19,Coupures répétées pendant les appels importants à Ngor.,2
39,2026-05-01,On m'a facturé deux fois le Illimité 20 Go ce mois-ci.,1
40,2026-08-29,On m'a facturé deux fois le Illimité 20 Go ce mois-ci.,1
41,2026-06-24,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",1
42,2026-08-25,L'application mobile est devenue beaucoup plus rapide depuis la mise à jour.,4
43,2026-07-20,On me prélève 1 500 F que je n'ai jamais demandés.,2
44,2026-06-26,"Le réseau fonctionne à Yoff, sans plus.",3
45,2026-07-24,"Impossible de joindre le service client, j'attends depuis deux jours.",2
46,2026-08-19,Coupures répétées pendant les appels importants à Guédiawaye.,1
47,2026-07-14,L'application mobile est devenue beaucoup plus rapide depuis la mise à jour.,4
48,2026-07-09,"Support injoignable, j'ai envoyé trois messages sans retour depuis cinq heures.",2
49,2026-05-10,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",2
50,2026-04-15,"Conseiller désagréable au téléphone, aucune solution proposée pour mon Illimité 50 Go.",1
51,2026-05-18,On m'a facturé deux fois le Forfait Soir ce mois-ci.,1
52,2026-08-27,"Recharge instantanée à Rufisque, aucun souci depuis cinq heures.",5
53,2026-06-06,Ma réclamation de facturation de 3 500 F reste sans réponse depuis 24 heures.,1
54,2026-06-16,Offre promotionnelle intéressante sur le Illimité 20 Go ce trimestre.,4
55,2026-04-19,Le Forfait Soir est raisonnable comparé à la concurrence.,4
56,2026-07-04,"Conseiller désagréable au téléphone, aucune solution proposée pour mon Pass Journalier.",1
57,2026-08-20,Coupures répétées pendant les appels importants à Rufisque.,1
58,2026-08-20,Le prix du Forfait Soir a encore augmenté sans aucune explication.,2
59,2026-08-08,Offre promotionnelle intéressante sur le Illimité 20 Go ce trimestre.,4
60,2026-04-01,"Impossible de joindre le service client, j'attends depuis 24 heures.",2
61,2026-08-22,On m'a facturé deux fois le Forfait Soir ce mois-ci.,2
62,2026-08-28,"Service client courtois, mon problème de facturation a été réglé du premier coup.",4
63,2026-07-01,"L'application plante à chaque ouverture depuis la mise à jour, illisible.",2
64,2026-05-10,Facture du Forfait Soir reçue à temps ce mois.,3
65,2026-05-16,La 4G passe très bien même à Grand Yoff.,4
66,2026-07-07,"L'application fait le nécessaire, rien d'exceptionnel.",3
67,2026-06-18,Facture du Illimité 20 Go reçue à temps ce mois.,3
68,2026-06-24,On m'a facturé deux fois le Pass Journalier ce mois-ci.,2
69,2026-04-08,Le prix du Illimité 50 Go a encore augmenté sans aucune explication.,1
70,2026-07-21,"Support injoignable, j'ai envoyé trois messages sans retour depuis cinq heures.",1
71,2026-07-08,Facture du Illimité 20 Go reçue à temps ce mois.,3
72,2026-08-12,Le Forfait Soir à 3 500 F est dans la moyenne du marché.,3
73,2026-04-18,"J'ai eu un conseiller pour mon Pass Journalier, réponse correcte.",3
74,2026-08-08,On me prélève 3 500 F que je n'ai jamais demandés.,1
75,2026-05-20,On me prélève 10 000 F que je n'ai jamais demandés.,2
76,2026-07-13,"Le réseau est enfin stable à Mermoz, bravo.",5
77,2026-07-29,Coupures répétées pendant les appels importants à Yoff.,1
78,2026-06-12,Le débit s'est nettement amélioré à Pikine ces derniers jours.,5
79,2026-05-28,Facture du Illimité 20 Go reçue à temps ce mois.,3
80,2026-04-19,Offre promotionnelle intéressante sur le Illimité 50 Go ce trimestre.,5
81,2026-07-12,Coupures répétées pendant les appels importants à Almadies.,1
82,2026-05-16,Le Illimité 20 Go à 10 000 F est dans la moyenne du marché.,3
83,2026-05-02,Réponse rapide sur WhatsApp pour mon souci de solde de 10 000 F.,5
84,2026-07-23,"Facture détaillée et compréhensible ce mois, merci.",4
85,2026-07-31,Réponse rapide sur WhatsApp pour mon souci de solde de 10 000 F.,4
86,2026-06-10,Ma réclamation de facturation de 3 500 F reste sans réponse depuis une semaine.,2
87,2026-08-17,"Impossible de joindre le service client, j'attends depuis trois jours.",1
88,2026-07-16,L'appli demande de se reconnecter toutes les cinq minutes à Liberté 6.,2
89,2026-07-09,Le Illimité 20 Go à 10 000 F est dans la moyenne du marché.,3
90,2026-08-01,Aucune couverture réseau à Mermoz depuis la panne d'hier.,1
91,2026-08-03,On me prélève 5 000 F que je n'ai jamais demandés.,2
92,2026-05-13,Facture du Illimité 50 Go reçue à temps ce mois.,3
93,2026-08-23,"Facturation claire ce mois-ci sur mon Forfait Week-end, aucune surprise.",4
94,2026-04-13,Aucune couverture réseau à Yoff depuis la panne d'hier.,2
95,2026-06-11,L'appli ne plante plus depuis la dernière mise à jour.,4
96,2026-08-17,Aucune couverture réseau à Yoff depuis la panne d'hier.,1
97,2026-05-22,Le Forfait Soir à 2 000 F est dans la moyenne du marché.,3
98,2026-04-30,L'application mobile est devenue beaucoup plus rapide depuis la mise à jour.,4
99,2026-05-12,"Le réseau fonctionne à Pikine, sans plus.",3
100,2026-07-06,Ma réclamation de facturation de 10 000 F reste sans réponse depuis trois jours.,1
101,2026-06-17,Le Illimité 50 Go à 1 500 F est dans la moyenne du marché.,3
102,2026-08-15,Aucune couverture réseau à Rufisque depuis la panne d'hier.,2
103,2026-08-04,Aucune couverture réseau à Ngor depuis la panne d'hier.,1
104,2026-08-12,"J'ai eu un conseiller pour mon Illimité 50 Go, réponse correcte.",3
105,2026-07-21,Le Pass Journalier à 2 000 F est dans la moyenne du marché.,3
106,2026-06-11,Facture du Illimité 50 Go reçue à temps ce mois.,3
107,2026-06-26,Mise à jour de l'appli qui a supprimé mon historique de recharge.,2
108,2026-06-06,"Prix du Pass Journalier doublé du jour au lendemain, sans prévenir personne.",1
109,2026-04-22,On me prélève 2 000 F que je n'ai jamais demandés.,2
110,2026-07-24,"Facturation claire ce mois-ci sur mon Forfait Soir, aucune surprise.",5
111,2026-08-27,L'appli demande de se reconnecter toutes les cinq minutes à Guédiawaye.,2
112,2026-06-30,Bon rapport qualité-prix pour le Pass Journalier à 2 000 F.,4
113,2026-06-20,L'appli demande de se reconnecter toutes les cinq minutes à Almadies.,2
114,2026-06-10,Réponse rapide sur WhatsApp pour mon souci de solde de 3 500 F.,4
115,2026-06-15,"Impossible de joindre le service client, j'attends depuis trois jours.",2
116,2026-04-12,Le Forfait Soir à 5 000 F est dans la moyenne du marché.,3
117,2026-04-04,Nouvelle interface de l'appli claire et agréable à utiliser.,4
118,2026-06-04,"L'application fait le nécessaire, rien d'exceptionnel.",3
119,2026-04-19,Le débit s'est nettement amélioré à Ouakam ces derniers jours.,5
120,2026-04-22,"Le réseau fonctionne à Guédiawaye, sans plus.",3
121,2026-05-28,"Service client courtois, mon problème de facturation a été réglé du premier coup.",5
122,2026-06-18,"Le réseau est enfin stable à Pikine, bravo.",5
123,2026-04-21,"Impossible de joindre le service client, j'attends depuis deux jours.",2
